#timestamp x y z qx qy qz qw
1687847730.911572 -0.000138 -0.000175 -0.000145 0.493244 0.511955 -0.507255 -0.487140
1687847743.520458 -0.124203 -0.013056 0.001327 0.488715 0.514313 -0.510160 -0.486186
1687847744.521133 -0.263303 -0.025826 0.001923 0.484979 0.515456 -0.514345 -0.484304
1687847745.555179 -0.417906 -0.047851 0.016991 -0.466917 -0.517746 0.529334 0.483459
1687847746.589228 -0.578538 -0.054950 0.018375 -0.470809 -0.517547 0.531566 0.477410
1687847748.757370 -0.821047 -0.054456 0.025335 -0.478128 -0.504393 0.544298 0.469811
1687847749.791422 -0.928060 -0.057329 0.043140 -0.468936 -0.490128 0.562661 0.472531
1687847750.792118 -1.104760 -0.087548 0.052463 -0.468482 -0.497463 0.552972 0.476736
1687847751.796989 -1.288620 -0.121628 0.051247 -0.464640 -0.505838 0.538368 0.488260
1687847752.805781 -1.472845 -0.154525 0.052938 -0.460542 -0.514411 0.525648 0.496967
1687847753.871828 -1.611547 -0.180767 0.080414 -0.439273 -0.501620 0.538983 0.514698
1687847754.904552 -1.759874 -0.191963 0.118861 -0.426230 -0.486268 0.554122 0.524233
1687847756.003909 -1.953155 -0.200679 0.159313 -0.424641 -0.474216 0.563764 0.526279
1687847757.136583 -2.200070 -0.213168 0.161686 -0.445457 -0.492034 0.551315 0.505493
1687847758.202683 -2.439545 -0.223894 0.142897 -0.470317 -0.511176 0.535900 0.479909
1687847759.335373 -2.661803 -0.247979 0.157725 -0.464561 -0.506886 0.544292 0.480621
1687847760.401431 -2.852247 -0.277766 0.175412 -0.452237 -0.501909 0.553444 0.487103
1687847761.434191 -3.083263 -0.293256 0.177728 -0.467453 -0.503570 0.538237 0.488065
1687847762.533599 -3.324877 -0.270300 0.174289 -0.491628 -0.485766 0.527511 0.494029
1687847763.634610 -3.579365 -0.271109 0.190156 -0.490438 -0.474999 0.535550 0.497024
1687847764.744686 -3.874457 -0.276852 0.205506 -0.489681 -0.473605 0.535337 0.499325
1687847765.745201 -4.163455 -0.282579 0.197964 -0.499673 -0.480705 0.520101 0.498743
1687847766.786837 -4.449729 -0.289062 0.191363 -0.502645 -0.487172 0.514946 0.494815
1687847767.885602 -4.761591 -0.294659 0.198522 -0.496509 -0.488318 0.519511 0.495109
1687847768.959069 -5.061427 -0.301771 0.207722 -0.492829 -0.487016 0.524906 0.494376
1687847769.998641 -5.391963 -0.300643 0.194257 -0.504653 -0.495252 0.516948 0.482510
1687847771.095183 -5.680859 -0.288049 0.216857 -0.500946 -0.469607 0.522397 0.505592
1687847772.191756 -5.997484 -0.292672 0.223322 -0.502283 -0.476728 0.518260 0.501845
1687847773.255134 -6.299349 -0.290758 0.228573 -0.502740 -0.479468 0.516998 0.500076
1687847774.285336 -6.596902 -0.294909 0.226462 -0.504663 -0.483779 0.514093 0.496972
1687847775.415213 -6.952047 -0.305367 0.211339 -0.501533 -0.491348 0.512148 0.494718
1687847776.545072 -7.309104 -0.305706 0.216371 -0.502932 -0.493303 0.514240 0.489150
1687847777.608484 -7.663070 -0.306622 0.226097 -0.496513 -0.483961 0.522323 0.496422
1687847778.738404 -8.068239 -0.310640 0.225680 -0.500082 -0.485611 0.519038 0.494672
1687847779.803167 -8.417238 -0.306076 0.216070 -0.510103 -0.489559 0.512619 0.487183
1687847780.839736 -8.819020 -0.306693 0.229055 -0.506649 -0.483130 0.516391 0.493185
1687847781.940078 -9.209477 -0.306908 0.242567 -0.498890 -0.474410 0.529460 0.495698
1687847783.010521 -9.584877 -0.294055 0.267646 -0.492406 -0.469174 0.539480 0.496360
1687847784.143215 -10.060275 -0.306323 0.274318 -0.502580 -0.479280 0.527848 0.488958
1687847785.213623 -10.463671 -0.321466 0.278221 -0.500240 -0.482282 0.531011 0.484966
1687847786.217036 -10.855295 -0.306126 0.273488 0.516315 0.476346 -0.512036 -0.494300
1687847787.284437 -11.315935 -0.304730 0.259219 0.519155 0.485385 -0.507278 -0.487390
1687847788.285126 -11.687944 -0.300721 0.267050 0.514282 0.482374 -0.512172 -0.490417
1687847789.385902 -12.081865 -0.286505 0.272593 0.513798 0.474892 -0.511835 -0.498512
1687847790.386606 -12.488911 -0.278181 0.282815 -0.510491 -0.472921 0.511007 0.504596
1687847791.387312 -12.885524 -0.272408 0.285632 -0.509541 -0.478298 0.506267 0.505264
1687847792.521428 -13.310731 -0.264002 0.306039 -0.500137 -0.476802 0.511420 0.510855
1687847793.622209 -13.753363 -0.246455 0.301561 -0.507847 -0.482375 0.508783 0.500546
1687847794.656271 -14.151155 -0.235519 0.321849 -0.501622 -0.474817 0.511613 0.511055
1687847795.656971 -14.557502 -0.220808 0.318674 -0.510205 -0.478509 0.505661 0.505002
1687847796.657670 -14.944426 -0.199616 0.325417 -0.510502 -0.473581 0.506462 0.508532
1687847797.758467 -15.409878 -0.182734 0.322097 -0.515041 -0.479603 0.502634 0.502069
1687847798.759176 -15.825759 -0.175960 0.316927 -0.511241 -0.482595 0.504876 0.500835
1687847799.793234 -16.226366 -0.169846 0.322485 -0.506983 -0.479800 0.507137 0.505541
1687847800.860650 -16.690115 -0.160273 0.330105 -0.504910 -0.479821 0.502462 0.512221
1687847801.861353 -17.129032 -0.143013 0.338172 -0.504317 -0.477683 0.503942 0.513348
1687847802.862038 -17.542297 -0.140627 0.360623 -0.498759 -0.480001 0.505354 0.515224
1687847803.929441 -17.999020 -0.138276 0.348776 -0.500055 -0.489353 0.503271 0.507145
1687847804.963497 -18.416758 -0.118969 0.346792 -0.504747 -0.484641 0.505439 0.504861
1687847805.997549 -18.828382 -0.108088 0.350048 -0.507010 -0.481186 0.503771 0.507559
1687847807.002589 -19.218088 -0.091003 0.369613 -0.503232 -0.472471 0.508020 0.515213
1687847808.011047 -19.624285 -0.084719 0.356286 -0.506307 -0.479215 0.502175 0.511690
1687847809.110488 -20.061224 -0.082985 0.378315 -0.494174 -0.479286 0.510144 0.515587
1687847810.243182 -20.538157 -0.068192 0.386285 -0.496408 -0.479872 0.510484 0.512550
1687847811.309212 -20.978748 -0.065550 0.411747 -0.484695 -0.470117 0.519232 0.523889
1687847812.375327 -21.465200 -0.046425 0.422828 -0.496568 -0.471734 0.513196 0.517221
1687847813.408113 -21.941872 -0.040441 0.430972 -0.496044 -0.477158 0.511109 0.514809
1687847814.443383 -22.408895 -0.048689 0.436245 -0.492747 -0.488056 0.505439 0.513355
1687847815.443650 -22.865993 -0.041510 0.447084 -0.496389 -0.488309 0.499602 0.515315
1687847816.542646 -23.380804 -0.027304 0.442831 -0.500650 -0.489165 0.495657 0.514191
1687847817.641633 -23.885286 0.000191 0.447877 -0.503172 -0.480903 0.501565 0.513793
1687847818.774183 -24.420563 0.007383 0.473082 -0.490238 -0.476179 0.514278 0.518110
1687847819.906545 -25.001394 0.028243 0.484887 -0.498171 -0.476391 0.511361 0.513213
1687847820.938928 -25.540998 0.040405 0.497528 -0.499220 -0.477721 0.510230 0.512081
1687847822.004626 -26.105003 0.058350 0.525696 -0.499342 -0.475342 0.512502 0.511907
1687847823.039152 -26.674507 0.060134 0.510468 -0.505132 -0.490564 0.502748 0.501431
1687847824.144032 -27.178003 0.077916 0.526849 -0.499447 -0.479971 0.509945 0.510035
1687847825.177703 -27.756176 0.101945 0.553093 -0.501019 -0.474840 0.510792 0.512444
1687847826.178030 -28.385723 0.148425 0.547261 0.521418 0.474891 -0.509432 -0.493032
1687847827.211692 -29.009365 0.215235 0.568174 -0.526352 -0.443308 0.522646 0.503262
1687847828.245371 -29.646164 0.435502 0.578112 -0.591460 -0.375017 0.439079 0.562803
1687847829.279054 -30.210552 0.833541 0.580021 -0.641208 -0.288235 0.340998 0.624094
1687847830.380670 -30.518456 1.456392 0.593691 -0.694911 -0.128336 0.169719 0.686895
1687847831.415356 -30.604702 2.172018 0.558447 -0.716408 -0.015817 0.027806 0.696948
1687847832.482730 -30.451637 2.902266 0.534937 -0.715029 0.084764 -0.066773 0.690717
1687847833.550097 -30.087185 3.559818 0.484493 -0.698552 0.186998 -0.156509 0.672727
1687847834.650948 -29.546146 4.012383 0.439789 -0.652734 0.319265 -0.284869 0.625186
1687847835.685028 -28.987745 4.220130 0.486750 -0.550243 0.397209 -0.429889 0.595528
1687847836.685731 -28.259760 4.185891 0.458704 0.474644 -0.509010 0.529316 -0.485228
1687847837.753154 -27.493189 4.117882 0.463298 0.466261 -0.504517 0.531687 -0.495351
1687847838.787256 -26.639938 4.051941 0.470133 0.464515 -0.518163 0.521002 -0.494257
1687847839.788337 -25.867855 3.991683 0.465198 0.468444 -0.517352 0.523919 -0.488279
1687847840.834557 -25.085981 3.983698 0.512604 -0.482573 0.482429 -0.517178 0.516636
1687847841.867295 -24.284235 3.980910 0.517536 -0.491839 0.491721 -0.507856 0.508319
1687847843.000066 -23.437887 3.992491 0.484914 0.511999 -0.501625 0.488081 -0.498003
1687847844.066116 -22.717340 4.019691 0.499546 -0.506186 0.488784 -0.494631 0.510104
