#timestamp x y z qx qy qz qw
1687424527.936628 0.000277 -0.000775 0.000976 0.509038 0.494854 -0.501446 -0.494522
1687424540.379152 -0.292876 -0.001215 -0.005194 0.505776 0.497567 -0.503912 -0.492636
1687424541.479949 -0.626509 -0.014291 -0.005898 0.507203 0.498788 -0.502878 -0.490988
1687424542.514039 -0.951198 -0.034440 -0.000089 -0.503611 -0.497467 0.506186 0.492623
1687424543.514773 -1.308536 -0.032566 0.007356 -0.500965 -0.496689 0.507559 0.494690
1687424544.515510 -1.545473 -0.105963 -0.000472 -0.451875 -0.541645 0.553377 0.442950
1687424545.582951 -1.650688 -0.337702 -0.003128 -0.325880 -0.626525 0.635260 0.312593
1687424546.590899 -1.683378 -0.571078 -0.000519 -0.197326 -0.680043 0.682706 0.180323
1687424547.596388 -1.671066 -0.834348 -0.004349 -0.084425 -0.701320 0.704438 0.069209
1687424548.695758 -1.637032 -1.113074 -0.005853 0.015167 0.707116 -0.706931 -0.002430
1687424549.728533 -1.628982 -1.387741 -0.007767 0.006998 0.707644 -0.706520 0.004622
1687424550.861224 -1.704605 -1.673665 -0.007921 -0.072001 -0.703123 0.704968 0.058775
1687424551.893990 -1.894488 -1.894266 -0.003526 -0.199673 -0.677349 0.683492 0.184844
1687424553.026700 -2.249602 -2.032562 -0.005463 -0.357731 -0.607615 0.619890 0.344338
1687424554.092803 -2.561843 -1.987744 0.009140 -0.490059 -0.509742 0.524565 0.474171
1687424555.193934 -2.868839 -1.985758 0.002444 0.514311 0.490009 -0.501580 -0.493754
1687424556.270738 -3.165818 -2.023362 0.007826 -0.492242 -0.509840 0.523830 0.472613
1687424557.368785 -3.488138 -2.048443 0.013961 -0.490632 -0.511403 0.523887 0.472535
1687424558.400276 -3.796469 -2.078817 0.011296 -0.490962 -0.510906 0.522741 0.473997
1687424559.431823 -4.110085 -2.140732 0.016876 -0.468182 -0.529357 0.544422 0.451875
1687424560.463415 -4.408586 -2.315633 0.012466 -0.395877 -0.585242 0.599091 0.376647
1687424561.594726 -4.565220 -2.573105 0.014277 -0.282526 -0.647015 0.658074 0.261704
1687424562.663844 -4.644336 -2.871078 0.015284 -0.173880 -0.682590 0.692130 0.157455
1687424563.666043 -4.634564 -3.187041 0.023366 -0.073698 -0.702771 0.705280 0.057110
1687424564.698840 -4.558501 -3.463794 0.034189 0.030810 -0.705599 0.706487 -0.045347
1687424565.703213 -4.430005 -3.693799 0.059866 -0.084462 0.703359 -0.699376 0.095008
1687424566.772357 -4.246423 -3.964905 0.078875 -0.149282 0.695581 -0.684599 0.158768
1687424567.870860 -4.024872 -4.197144 0.133559 -0.248566 0.670639 -0.647599 0.262820
1687424568.979448 -3.782679 -4.344549 0.127410 -0.315333 0.638739 -0.617746 0.333117
1687424570.086582 -3.503220 -4.394961 0.117838 -0.388514 0.595085 -0.572988 0.408186
1687424571.184000 -3.194979 -4.381239 0.123364 -0.462307 0.539594 -0.516437 0.477915
1687424572.187753 -2.905562 -4.366123 0.125376 -0.491710 0.512757 -0.489309 0.505845
1687424573.219051 -2.609761 -4.324853 0.124448 -0.513055 0.488556 -0.467796 0.528445
1687424574.283690 -2.303668 -4.276315 0.124436 -0.515955 0.483252 -0.464297 0.533560
1687424575.360505 -2.018454 -4.230240 0.125098 -0.527301 0.469372 -0.449890 0.547030
1687424576.390300 -1.728013 -4.165540 0.119507 -0.538647 0.463144 -0.437250 0.551516
1687424577.420055 -1.446466 -4.072701 0.121848 -0.550137 0.448492 -0.421319 0.564531
1687424578.516305 -1.154780 -3.961726 0.123904 -0.566617 0.425714 -0.397331 0.582959
1687424579.546088 -0.901119 -3.832907 0.130514 -0.586888 0.393873 -0.365160 0.605875
1687424580.609130 -0.671035 -3.631193 0.129212 -0.612729 0.350547 -0.323810 0.629942
1687424581.674067 -0.531652 -3.348929 0.132003 -0.661851 0.238248 -0.213986 0.677791
1687424582.744306 -0.488613 -3.036366 0.135844 -0.691117 0.120623 -0.093875 0.706395
1687424583.846219 -0.554900 -2.718469 0.143097 -0.698925 0.002290 0.023430 0.714808
1687424584.946879 -0.658289 -2.418624 0.151308 -0.695427 -0.065197 0.088526 0.710137
1687424585.950116 -0.767394 -2.173447 0.156816 -0.690664 -0.085048 0.107024 0.710138
1687424587.016967 -0.881621 -1.888857 0.171389 -0.690198 -0.091836 0.111226 0.709099
1687424588.115387 -1.069643 -1.673732 0.169821 -0.674250 -0.186555 0.201287 0.685614
1687424589.180539 -1.175659 -1.567652 0.168735 -0.631807 -0.304037 0.314429 0.639935
1687424590.312181 -1.390403 -1.668349 0.166101 -0.569673 -0.412393 0.419139 0.574219
1687424591.318422 -1.540145 -1.785701 0.167594 -0.508009 -0.487201 0.493361 0.511035
1687424592.452465 -1.620168 -1.883038 0.176157 -0.423288 -0.564147 0.567112 0.425380
1687424594.562341 -1.663369 -1.942847 0.182429 -0.382033 -0.593728 0.595256 0.383679
1687424595.627491 -1.786898 -2.006439 0.184450 -0.380093 -0.595242 0.596063 0.382002
1687424596.759258 -1.951893 -2.046996 0.188151 -0.405477 -0.576535 0.579102 0.409678
1687424597.791168 -2.113435 -2.048881 0.192867 -0.442130 -0.547478 0.552176 0.447091
1687424598.796165 -2.252434 -2.052829 0.202523 -0.460213 -0.533426 0.537603 0.463296
1687424599.907022 -2.404555 -2.076038 0.203279 -0.479738 -0.514691 0.520870 0.483362
1687424600.938383 -2.557606 -2.088291 0.205943 -0.479572 -0.514320 0.521167 0.483601
1687424602.003016 -2.709770 -2.102319 0.205649 -0.479740 -0.514403 0.521114 0.483404
1687424603.067698 -2.874499 -2.115212 0.201371 -0.482771 -0.515304 0.518737 0.481982
1687424604.165631 -3.053467 -2.112790 0.207195 -0.499021 -0.499113 0.503746 0.498101
1687424605.263563 -3.299985 -2.117854 0.211532 -0.498439 -0.498298 0.504421 0.498816
1687424606.271420 -3.555079 -2.125922 0.214624 -0.497695 -0.498041 0.504092 0.500146
1687424607.337980 -3.828887 -2.130402 0.217992 -0.497575 -0.497924 0.504079 0.500395
1687424608.501010 -4.024434 -2.176005 0.223382 -0.465318 -0.530238 0.533749 0.466303
1687424609.538629 -4.119229 -2.287342 0.215809 -0.398445 -0.582585 0.585539 0.398723
1687424610.603353 -4.178185 -2.426119 0.207309 -0.322844 -0.628719 0.629122 0.323559
1687424611.767882 -4.300325 -2.618119 0.207176 -0.245587 -0.663127 0.663215 0.245145
1687424612.869795 -4.331114 -2.862984 0.210219 0.159039 0.692620 -0.686411 -0.154348
1687424613.975885 -4.325418 -3.142530 0.199368 0.068992 0.708266 -0.699988 -0.060140
